,player,pos,year,bodyfat%,hand_len_in,hand_width_in,height_wo_shoes,height_w_shoes,standing_reach,weight_lbs,wingspan,lane_agility_s,shuttle_run_s,three_q_sprint_s,standing_vert_in,max_vert_in,max_bench_reps
134,Damone Thornton,PF,2001-02,8.0,,,78.75,,103.75,235.0,85.75,11.17,,3.2,33.5,37.5,19.0
135,Jamaal Tinsley,PG,2001-02,13.6,,,72.75,,97.5,199.0,79.5,11.96,,3.2,28.0,37.5,1.0
136,Tory Walker,SF,2001-02,6.7,,,78.75,,104.5,187.0,83.25,11.95,,3.25,28.0,33.0,7.0
137,Souleymane Wane,C,2001-02,11.2,,,80.5,,109.0,235.0,89.0,12.02,,3.46,29.0,30.5,9.0
138,Earl Watson,PG,2001-02,4.0,,,72.0,,97.0,184.0,78.75,10.97,,3.19,32.5,37.5,4.0
139,Rodney White,SF,2001-02,9.3,,,79.5,,104.5,243.0,83.5,12.07,,3.47,27.5,33.0,16.0
140,Loren Woods,C-PF,2001-02,9.3,,,84.75,,113.0,246.0,89.5,11.83,,3.48,24.5,28.0,10.0
141,Michael Wright,PF,2001-02,9.3,,,79.0,,106.5,247.0,83.5,11.37,,3.21,27.5,33.5,18.0
142,Brent Wright,PF-SF,2001-02,12.4,,,79.75,,105.5,236.0,85.5,12.25,,3.3,23.0,29.0,19.0
143,Nene,PF,2002-03,,,,81.25,,109.0,253.0,88.5,10.73,,3.19,30.0,34.0,16.0
144,Robert Archibald,PF-C,2002-03,,,,82.0,,109.5,250.0,83.75,11.34,,3.33,24.0,27.5,10.0
145,Maurice Baker,PG,2002-03,,,,71.75,,96.0,178.0,76.0,12.19,,3.29,29.5,33.0,2.0
146,Matt Barnes,SF,2002-03,,,,78.75,,96.5,226.0,81.0,10.68,,3.28,35.5,40.5,11.0
147,Lubos Barton,SF-SG,2002-03,,,,78.5,,107.0,221.0,84.0,11.2,,3.31,25.5,31.5,14.0
148,Lonny Baxter,PF-C,2002-03,,,,78.25,,107.5,264.0,85.5,11.77,,3.21,28.0,32.5,14.0
149,Lee Benson,SF-PF,2002-03,,,,80.25,,109.0,217.0,85.75,11.44,,3.29,27.5,32.5,14.0
150,Carlos Boozer,PF,2002-03,,,,79.75,,108.5,258.0,86.25,10.77,,3.31,26.5,28.5,13.0
151,Curtis Borchardt,C,2002-03,,,,82.75,,112.0,238.0,86.5,12.56,,3.63,24.0,27.0,7.0
152,J.R. Bremer,SG-PG,2002-03,,,,73.25,,96.0,188.0,74.25,10.93,,3.1,30.0,35.5,24.0
153,Brian Brown,PG-SG,2002-03,,,,74.5,,99.0,194.0,79.0,11.43,,3.29,26.0,33.0,8.0
154,Sylvere Bryan,PF,2002-03,,,,81.0,,109.5,226.0,88.5,12.03,,3.2,28.5,29.5,13.0
155,Chris Burgess,C,2002-03,,,,82.0,,109.0,246.0,83.5,11.58,,3.37,24.5,31.0,24.0
156,Caron Butler,SF-SG,2002-03,,,,77.25,,103.5,222.0,83.5,12.15,,3.33,27.0,31.0,2.0
157,Rasual Butler,SF,2002-03,,,,78.75,,105.5,198.0,84.0,11.54,,3.29,31.5,37.5,10.0
158,Mire Chatman,PG-SG,2002-03,,,,72.0,,98.0,174.0,78.0,11.12,,3.18,29.0,33.0,1.0
159,Chris Christoffersen,C,2002-03,,,,84.75,,109.0,291.0,87.5,12.55,,3.39,28.0,31.0,13.0
160,Lenny Cooke,SG-SF,2002-03,,,,77.5,,107.0,214.0,85.0,,,,,,
161,Craig Dawson,SG-SF,2002-03,,,,75.5,,102.0,200.0,78.25,12.06,,3.25,26.0,30.0,
162,Mike Dunleavy,SF,2002-03,,,,80.0,,106.0,230.0,81.0,11.55,,3.3,24.5,29.0,11.0
163,Teddy Dupay,PG,2002-03,,,,69.5,,90.5,178.0,70.75,10.53,,3.19,28.0,33.0,16.0
164,Corsley Edwards,PF,2002-03,,,,79.25,,106.5,285.0,82.75,12.18,,3.31,28.5,33.0,12.0
165,Andy Ellis,PF,2002-03,,,,81.25,,102.0,220.0,82.25,11.69,,3.34,32.0,35.5,6.0
166,Melvin Ely,PF,2002-03,,,,81.0,,111.0,240.0,88.0,11.96,,3.35,26.0,29.0,7.0
167,Reggie Evans,PF,2002-03,,,,79.5,,107.5,250.0,86.5,12.73,,3.26,26.0,29.5,15.0
168,Peter Fehse,PF-C,2002-03,,,,82.0,,109.0,220.0,84.5,,,,,,
169,Drew Gooden,PF,2002-03,,,,80.75,,106.5,227.0,84.5,11.81,,3.19,29.0,33.0,13.0
170,David Graves,SG,2002-03,,,,76.5,,101.0,212.0,79.0,11.2,,3.27,26.0,29.5,8.0
171,Lynn Greer,PG,2002-03,,,,72.25,,94.5,170.0,73.0,11.24,,3.16,29.5,36.5,12.0
172,Rod Grizzard,SF-SG,2002-03,,,,78.0,,107.0,193.0,84.0,,,,,,6.0
173,Anthony Grundy,PG-SG,2002-03,,,,72.75,,99.0,167.0,79.75,11.1,,3.39,27.5,32.0,
174,Marcus Haislip,PF,2002-03,,,,80.5,,107.0,221.0,84.0,11.35,,3.21,33.5,36.5,8.0
175,Damon Hancock,SG-PG,2002-03,,,,74.75,,99.5,203.0,78.0,11.62,,3.03,32.0,35.0,15.0
176,Greg Harrington,PG,2002-03,,,,73.0,,97.0,183.0,75.75,12.06,,3.32,28.5,34.0,15.0
177,Udonis Haslem,PF,2002-03,,,,79.75,,107.0,250.0,83.0,11.8,,3.31,28.5,33.5,22.0
178,Cordell Henry,PG,2002-03,,,,68.0,,92.0,155.0,73.0,11.3,,3.04,33.0,37.5,1.0
179,Randy Holcomb,SF-PF,2002-03,,,,79.0,,105.0,225.0,85.0,12.85,,3.22,29.5,35.5,15.0
180,Ryan Humphrey,PF-SF,2002-03,,,,78.0,,104.5,223.0,84.0,11.75,,3.2,31.5,37.5,13.0
181,Jared Jeffries,PF,2002-03,,,,82.0,,109.0,230.0,84.5,11.73,,3.4,26.0,30.0,9.0
182,Jason Jennings,C,2002-03,,,,83.25,,111.0,249.0,91.0,11.92,,3.62,29.0,32.0,8.0
183,Fred Jones,SG,2002-03,,,,74.25,,100.0,218.0,84.0,11.12,,3.13,33.5,37.5,
184,Lonnie Jones,C-PF,2002-03,,,,82.25,,112.0,230.0,86.25,11.8,,3.33,30.5,31.5,15.0
185,Mario Kasun,C,2002-03,,,,83.75,,109.0,260.0,83.5,,,,,,12.0
186,Sean Kennedy,PG,2002-03,,,,72.75,,96.0,182.0,74.5,11.64,,3.28,22.5,26.5,
187,Kris Lang,C-PF,2002-03,,,,81.25,,109.0,242.0,83.75,11.36,,3.24,28.0,29.0,19.0
188,Muhammed Lasege,C-PF,2002-03,,,,80.75,,108.5,228.0,86.0,12.96,,3.29,27.5,30.0,18.0
189,Steve Logan,PG,2002-03,,,,70.0,,92.5,207.0,71.75,,,,,,11.0
190,Kevin Lyde,C-PF,2002-03,,,,80.75,,109.5,278.0,86.0,12.97,,3.36,27.5,30.5,13.0
191,Tito Maddox,PG,2002-03,,,,75.0,,99.0,200.0,77.0,12.2,,3.24,27.0,32.5,
192,Kei Madison,SF,2002-03,,,,79.75,,107.0,216.0,84.5,11.74,,3.22,27.5,34.5,6.0
193,Chris Massie,PF,2002-03,,,,78.25,,107.0,248.0,84.0,,,,,,
194,Immanuel McElroy,SG,2002-03,,,,74.25,,100.0,191.0,78.5,,,,,,9.0
195,Aaron McGhee,PF-SF,2002-03,,,,79.0,,105.5,255.0,82.0,12.24,,,26.0,28.5,
196,Elvin Mims,SF-SG,2002-03,,,,76.25,,105.5,211.0,85.5,11.17,,3.22,32.0,38.0,7.0
197,Byron Mouton,SG-SF,2002-03,,,,76.5,,102.0,213.0,82.25,11.84,,3.1,24.0,30.0,7.0
198,Ronald Murray,SG,2002-03,,,,75.0,,100.5,197.0,79.5,11.13,,3.16,31.0,36.5,9.0
199,Uche Okafor,PF-C,2002-03,,,,81.0,,112.0,229.0,89.5,14.45,,3.34,24.5,25.0,10.0
200,Chris Owens,PF-SF,2002-03,,,,79.0,,104.0,237.0,83.5,,,,,,10.0
201,Jannero Pargo,PG,2002-03,,,,72.25,,96.0,168.0,74.5,11.11,,3.2,25.5,29.5,5.0
202,Smush Parker,PG-SG,2002-03,,,,74.5,,107.5,179.0,82.0,12.3,,3.26,21.0,28.5,1.0
203,Luke Recker,SG-SF,2002-03,,,,76.75,,101.0,198.0,79.0,10.78,,3.27,25.5,31.0,13.0
204,Rolan Roberts,PF,2002-03,,,,77.75,,105.5,241.0,85.0,11.36,,3.33,32.5,37.5,16.0
205,Travis Robinson,SF,2002-03,,,,77.25,,104.5,211.0,82.5,11.96,,3.43,26.0,33.0,3.0
206,Kareem Rush,SG-SF,2002-03,,,,76.75,,103.5,199.0,81.75,11.86,,3.22,26.0,30.0,15.0
