,player,pos,year,bodyfat%,hand_len_in,hand_width_in,height_wo_shoes,height_w_shoes,standing_reach,weight_lbs,wingspan,lane_agility_s,shuttle_run_s,three_q_sprint_s,standing_vert_in,max_vert_in,max_bench_reps
653,Darnell Jackson,PF,2008-09,12.5,,,79.0,79.75,106.5,240.5,83.25,11.75,,3.26,27.0,31.0,11.0
654,Shawn James,PF,2008-09,9.2,,,79.75,81.0,111.0,217.0,89.0,,,,,,6.0
655,Davon Jefferson,SF,2008-09,12.0,,,77.25,78.5,105.0,213.0,81.5,12.02,,3.36,27.0,32.0,2.0
656,Joseph Jones,PF,2008-09,12.2,,,79.0,80.5,107.0,240.0,84.25,11.61,,3.33,25.5,31.0,16.0
657,DeAndre Jordan,C,2008-09,7.5,,,81.75,83.0,113.5,250.0,90.0,12.3,,3.27,26.0,30.5,8.0
658,Sasha Kaun,C-PF,2008-09,9.6,,,81.0,82.75,110.0,247.0,88.0,12.06,,3.2,29.0,32.0,13.0
659,Marcelus Kemp,SG,2008-09,9.0,,,75.0,76.25,103.5,221.0,80.5,11.79,,3.39,26.0,30.0,9.0
660,Maarty Leunen,SF,2008-09,8.9,,,79.25,80.5,102.5,222.0,80.0,11.57,,3.36,29.5,34.5,14.0
661,Longar Longar,C,2008-09,10.6,,,81.0,82.0,109.5,212.5,85.25,,,,,,14.0
662,Brook Lopez,C,2008-09,6.3,,,83.25,84.5,113.0,258.0,89.5,12.77,,3.57,27.5,30.5,7.0
663,Kevin Love,PF,2008-09,12.9,,,79.75,81.5,106.0,255.0,83.25,11.17,,3.22,29.5,35.0,18.0
664,Aleks Maric,C,2008-09,10.1,,,81.75,82.75,109.5,273.0,85.0,11.76,,3.35,23.0,28.0,15.0
665,O.J. Mayo,SG-PG,2008-09,6.3,,,75.25,76.25,99.5,200.0,78.0,11.04,,3.14,30.5,41.0,7.0
666,James Mays,PF,2008-09,8.8,,,78.75,79.75,105.0,227.0,85.75,11.23,,3.19,29.5,35.0,13.0
667,Luc Mbah a Moute,SF,2008-09,7.0,,,77.75,79.5,103.5,221.0,86.5,11.71,,3.17,32.0,38.5,11.0
668,JaVale McGee,C-PF,2008-09,5.3,,,83.0,84.0,114.5,241.0,90.0,12.75,,3.25,27.0,32.5,7.0
669,Drew Neitzel,PG,2008-09,6.2,,,71.75,72.75,95.0,175.5,74.5,11.19,,3.2,25.5,32.0,10.0
670,DeMarcus Nelson,PG-SG,2008-09,4.5,,,73.0,74.25,98.5,198.0,82.0,10.54,,3.13,34.5,38.5,19.0
671,David Padgett,C-PF,2008-09,9.0,,,82.25,83.5,109.5,239.5,85.0,12.45,,3.45,24.0,28.0,17.0
672,Jeremy Pargo,PG,2008-09,7.6,,,72.5,73.5,96.0,208.0,77.0,10.65,,3.07,32.0,37.0,7.0
673,Trent Plaisted,PF,2008-09,11.0,,,81.25,82.25,105.5,240.0,82.5,11.32,,3.17,30.5,35.5,14.0
674,Quan Prowell,SF-PF,2008-09,6.5,,,78.75,79.75,103.5,225.5,82.5,11.79,,3.14,32.0,36.0,16.0
675,Shaun Pruitt,C-PF,2008-09,13.8,,,80.25,81.0,107.5,242.2,85.0,11.3,,3.4,27.0,32.5,10.0
676,Anthony Randolph,PF-SF,2008-09,4.7,,,81.0,82.25,109.0,197.0,87.0,11.86,,3.26,29.0,35.0,7.0
677,Charles Rhodes,PF,2008-09,10.7,,,79.25,80.25,107.5,244.0,83.25,11.51,,3.13,26.5,33.5,14.0
678,John Riek,C,2008-09,11.0,,,82.5,84.0,,237.0,92.75,,,,,,
679,Brian Roberts,PG,2008-09,3.6,,,72.25,73.25,95.0,173.0,73.25,10.65,,3.05,31.5,36.5,10.0
680,Russell Robinson,PG,2008-09,7.4,,,72.5,73.5,100.5,196.0,80.0,11.3,,3.15,25.0,31.5,8.0
681,Richard Roby,SG-SF,2008-09,9.2,,,76.25,77.5,104.0,203.0,81.75,,,,,,
682,Derrick Rose,PG,2008-09,4.6,,,73.5,74.5,98.5,196.0,80.0,11.69,,3.05,34.5,40.0,10.0
683,Sean Singletary,PG,2008-09,4.2,,,71.0,72.0,95.0,183.8,76.5,,,,26.0,,18.0
684,Ronald Steele,PG,2008-09,8.1,,,72.25,73.5,97.5,183.5,76.25,11.08,,3.26,25.0,29.5,5.0
685,Mike Taylor,SG-PG,2008-09,3.8,,,72.75,74.0,98.0,166.2,79.25,10.98,,3.08,31.0,39.0,2.0
686,Bryce Taylor,SG,2008-09,8.3,,,74.75,76.25,99.5,210.0,81.0,11.08,,3.19,34.5,41.0,16.0
687,Mark Tyndale,SG-SF,2008-09,6.7,,,74.75,75.5,103.5,217.0,83.0,12.52,,3.14,27.0,33.5,5.0
688,Robert Vaden,SG,2008-09,6.2,,,75.5,76.5,101.0,199.0,80.0,11.97,,3.4,26.0,29.5,10.0
689,Deron Washington,SF,2008-09,7.2,,,77.25,78.25,102.5,198.5,81.0,11.03,,3.09,34.0,40.0,7.0
690,Sonny Weems,SG-SF,2008-09,4.4,,,76.0,77.5,104.0,193.0,82.0,10.58,,2.96,29.0,36.5,12.0
691,Russell Westbrook,PG,2008-09,4.8,,,74.25,75.5,100.0,192.0,79.75,10.98,,3.08,30.0,36.5,12.0
692,Reggie Williams,SG,2008-09,5.3,,,75.25,76.0,103.0,199.0,81.25,11.32,,3.07,31.5,36.5,15.0
693,Jeff Adrien,PF,2009-10,7.9,,,77.25,78.5,107.5,236.2,86.0,11.34,,3.32,27.5,31.5,16.0
694,Jeff Ayres,PF,2009-10,5.5,,,80.75,82.0,107.0,239.6,85.0,11.98,,3.14,31.0,35.0,15.0
695,Rodrigue Beaubois,PG,2009-10,7.9,,,73.25,74.25,100.0,182.4,81.75,10.49,,3.15,29.5,39.0,3.0
696,DeJuan Blair,PF,2009-10,12.0,,,77.25,78.5,106.5,276.6,86.0,11.5,,3.45,26.0,33.0,18.0
697,Derrick Brown,SF-PF,2009-10,8.6,,,79.5,80.5,107.5,224.6,86.5,11.26,,3.13,30.5,35.5,20.0
698,Chase Budinger,SF-SG,2009-10,10.0,,,78.25,79.0,101.0,206.4,79.0,11.08,,3.24,29.5,38.5,10.0
699,DeMarre Carroll,PF-SF,2009-10,6.3,,,78.25,79.75,105.0,207.2,82.0,,,,,,
700,Omri Casspi,SF,2009-10,8.6,,,79.75,81.25,106.5,211.2,81.25,11.15,,3.28,25.5,32.5,2.0
701,Dionte Christmas,SG,2009-10,7.1,,,76.25,77.5,102.5,210.8,81.0,10.83,,3.21,27.0,33.5,3.0
702,Earl Clark,SF-PF,2009-10,5.2,,,80.5,82.25,109.5,228.4,86.5,11.17,,3.35,28.5,33.0,5.0
703,Darren Collison,PG,2009-10,5.7,,,72.25,73.5,96.5,166.2,75.0,10.45,,3.1,30.5,33.5,9.0
704,Dante Cunningham,PF,2009-10,4.8,,,79.0,80.25,106.5,227.4,83.0,11.18,,3.26,28.0,35.0,18.0
705,Stephen Curry,PG-SG,2009-10,5.7,,,74.0,75.25,97.0,181.0,75.5,11.07,,3.28,29.5,35.5,10.0
706,Austin Daye,SF-PF,2009-10,5.5,,,81.75,82.75,110.0,191.8,86.75,12.11,,3.55,25.0,28.0,
707,DeMar DeRozan,SG-SF,2009-10,4.9,,,77.5,78.5,102.5,211.2,81.0,11.88,,3.31,29.0,38.5,5.0
708,Toney Douglas,PG,2009-10,5.2,,,73.0,74.0,97.5,183.4,78.0,10.63,,3.03,28.0,32.5,15.0
709,Wayne Ellington,SG,2009-10,5.5,,,76.25,77.25,100.0,202.4,78.5,11.14,,3.2,31.5,38.0,13.0
710,Tyreke Evans,PG-SG,2009-10,7.1,,,76.0,77.25,104.0,220.6,83.25,11.81,,3.17,28.5,34.0,7.0
711,Jonny Flynn,PG,2009-10,6.3,,,71.25,72.75,95.5,195.6,76.0,10.86,,3.23,33.0,40.0,10.0
712,Taj Gibson,PF,2009-10,6.6,,,80.5,81.75,109.0,214.4,88.0,11.56,,3.41,25.5,30.0,12.0
713,Danny Green,SG-SF,2009-10,5.6,,,77.25,78.5,103.0,208.0,82.0,11.3,,3.3,29.0,33.0,15.0
714,Blake Griffin,PF,2009-10,8.2,,,80.5,82.0,105.0,248.4,83.25,10.95,,3.28,32.0,35.5,22.0
715,Tyler Hansbrough,PF,2009-10,8.5,,,80.25,81.5,106.0,234.2,83.5,11.12,,3.27,27.5,34.0,18.0
716,James Harden,SG,2009-10,10.1,,,76.0,77.25,103.5,222.0,82.75,11.1,,3.13,31.5,37.0,17.0
717,Gerald Henderson,SG-SF,2009-10,4.4,,,76.0,77.0,102.5,214.6,82.25,11.17,,3.14,31.5,35.0,8.0
718,Josh Heytvelt,PF-C,2009-10,10.8,,,82.0,83.0,108.0,246.2,85.25,11.67,,3.38,28.5,34.0,15.0
719,Jordan Hill,PF-C,2009-10,6.0,,,81.25,82.25,108.0,232.4,85.5,12.23,,3.3,31.0,35.0,11.0
720,Jrue Holiday,PG-SG,2009-10,6.3,,,75.25,76.25,100.5,199.0,79.0,10.64,,3.21,28.5,34.0,6.0
721,Joe Ingles,SF,2009-10,10.1,,,79.75,80.25,105.0,209.2,82.25,10.66,,3.3,26.0,31.0,3.0
722,James Johnson,SF-PF,2009-10,12.0,,,79.0,79.75,105.5,257.2,84.75,11.21,,3.23,30.5,35.0,18.0
723,Ty Lawson,PG,2009-10,6.6,,,71.25,72.5,94.5,196.6,72.75,10.98,,3.12,29.0,36.5,14.0
724,Eric Maynor,PG,2009-10,5.4,,,74.25,75.25,97.0,163.6,74.5,10.78,,3.19,28.5,31.5,8.0
725,Jack McClinton,SG-PG,2009-10,6.2,,,71.75,72.75,96.0,185.2,74.5,10.44,,3.21,30.0,36.5,13.0
726,Jerel McNeal,SG,2009-10,5.4,,,73.5,75.0,99.5,190.4,79.25,10.61,,3.25,31.5,36.5,10.0
727,Jodie Meeks,SG,2009-10,8.0,,,75.0,76.0,98.0,211.4,76.5,10.96,,3.1,28.5,37.0,14.0
728,Patty Mills,PG,2009-10,6.9,,,71.25,72.5,95.0,175.4,74.0,10.87,,3.1,27.5,33.0,8.0
729,Byron Mullens,C,2009-10,8.5,,,83.75,85.25,111.0,258.2,85.5,11.1,,3.45,28.5,32.5,10.0
730,A.J. Price,PG,2009-10,12.4,,,72.5,74.0,97.0,192.8,75.75,10.99,,3.22,26.0,31.0,11.0
731,Tyler Smith,SF,2009-10,7.0,,,77.25,78.0,104.5,212.0,81.75,10.69,,3.24,29.0,33.5,10.0
732,DaJuan Summers,SF,2009-10,6.6,,,79.25,80.5,106.5,243.0,84.75,10.94,,3.17,29.5,34.5,15.0
733,Jermaine Taylor,SG,2009-10,5.8,,,75.5,76.75,101.0,207.4,80.75,11.54,,3.32,34.0,37.5,16.0
734,Jeff Teague,PG,2009-10,4.5,,,72.25,73.5,98.5,175.2,79.5,11.05,,3.18,30.5,36.5,13.0
735,Hasheem Thabeet,C,2009-10,6.7,,,85.25,86.5,113.0,267.2,90.25,,,,,,
736,Marcus Thornton,SG,2009-10,4.8,,,74.75,75.75,99.0,194.4,77.0,10.73,,3.28,31.0,33.0,14.0
737,Terrence Williams,SG-SF,2009-10,5.1,,,77.0,78.25,103.5,213.2,81.0,11.15,,3.18,30.5,37.0,9.0
738,Sam Young,SF-SG,2009-10,4.9,,,77.25,78.75,105.5,222.8,82.75,11.47,,3.45,27.5,33.0,
739,Solomon Alabi,C,2010-11,5.0,9.25,9.25,83.5,84.75,113.0,237.4,89.0,13.2,,3.68,22.5,26.0,10.0
740,Cole Aldrich,C,2010-11,8.5,9.0,9.25,81.0,83.25,111.5,236.0,88.75,11.48,,3.35,23.0,28.0,10.0
741,Al-Farouq Aminu,SF,2010-11,8.2,9.5,9.5,79.25,80.5,108.5,216.0,87.25,11.29,,3.3,27.0,33.5,13.0
742,James Anderson,SF,2010-11,7.9,8.5,7.25,76.75,77.75,104.0,207.6,80.5,11.86,,3.19,30.0,35.5,14.0
743,Luke Babbitt,SF-PF,2010-11,5.6,8.5,10.0,79.5,80.75,104.5,217.8,83.25,10.98,,3.4,29.5,37.5,15.0
744,Eric Bledsoe,PG,2010-11,5.6,8.5,9.75,72.25,73.5,98.0,191.6,79.5,,,,,,9.0
745,Trevor Booker,PF,2010-11,7.3,9.0,9.5,78.25,79.5,106.0,235.8,81.75,11.15,,3.1,31.0,36.0,22.0
746,Craig Brackins,PF-SF,2010-11,7.9,9.5,11.25,80.5,81.75,109.0,229.0,84.0,11.65,,3.39,26.0,35.0,6.0
747,Avery Bradley,SG-PG,2010-11,4.0,8.25,9.5,74.0,75.25,98.5,180.4,79.25,11.47,,3.14,31.5,37.5,2.0
748,Derrick Caracter,PF,2010-11,12.8,9.0,10.25,80.25,81.5,107.5,280.0,84.25,12.78,,3.61,25.0,30.5,22.0
749,Sherron Collins,PG,2010-11,9.2,8.5,9.5,70.25,71.75,94.0,217.2,74.5,12.31,,3.24,27.5,33.0,
750,DeMarcus Cousins,C,2010-11,16.4,9.25,10.0,81.5,82.75,113.0,291.8,89.75,11.4,,3.55,23.5,27.5,
751,Jordan Crawford,SG,2010-11,4.9,8.0,9.0,75.0,76.5,101.0,198.4,79.0,11.03,,3.37,31.5,34.5,7.0
752,Ed Davis,PF,2010-11,10.0,9.25,10.0,81.0,81.75,108.0,226.6,84.0,11.7,,3.21,31.0,36.0,
753,Devin Ebanks,SF,2010-11,7.9,8.25,9.0,79.0,80.25,107.5,207.8,84.25,11.69,,3.44,23.5,32.0,6.0
754,Derrick Favors,PF,2010-11,6.5,8.75,9.25,80.75,82.25,110.0,245.2,88.0,11.74,,3.25,31.5,35.5,14.0
755,Keith Gallon,PF-C,2010-11,15.1,9.25,10.5,80.5,81.5,109.5,301.8,88.5,13.44,,3.7,23.5,28.5,14.0
756,Charles Garcia,SF,2010-11,7.0,8.75,9.0,80.25,81.25,107.5,231.6,85.75,11.65,,3.23,24.5,30.5,2.0
757,Paul George,SF,2010-11,5.0,8.5,9.0,79.75,80.75,107.0,214.4,83.25,,,,,,4.0
758,Luke Harangody,PF,2010-11,11.1,8.75,9.75,78.0,79.75,106.0,240.2,81.5,11.83,,3.41,24.0,28.5,23.0
759,Manny Harris,SG,2010-11,3.8,8.5,9.0,76.0,77.5,102.0,185.1,79.25,,,,,,11.0
760,Lazar Hayward,SG-SF,2010-11,7.5,9.25,9.5,76.5,77.75,102.0,225.8,84.75,10.87,,3.31,31.0,36.0,15.0
761,Gordon Hayward,SF,2010-11,6.9,8.5,9.25,78.75,80.0,103.0,211.0,79.75,11.73,,3.22,30.5,34.5,10.0
762,Xavier Henry,SG,2010-11,4.7,8.75,10.0,77.25,78.5,105.0,210.2,83.25,11.1,,3.18,28.5,36.5,8.0
763,Darington Hobson,SG-SF,2010-11,6.2,8.25,9.0,77.25,78.5,104.5,203.6,81.25,11.68,,3.25,29.0,34.0,
764,Damion James,SF,2010-11,9.6,9.25,8.5,78.25,79.75,107.0,226.6,84.75,10.89,,3.2,29.0,33.0,13.0
765,Wesley Johnson,SF,2010-11,4.6,9.0,9.5,78.25,79.25,106.0,206.4,85.0,11.43,,3.14,32.0,37.0,16.0
766,Armon Johnson,PG-SG,2010-11,5.6,8.25,9.25,74.0,75.25,99.5,195.2,80.0,11.25,,3.19,31.5,38.5,18.0
767,Dominique Jones,SG,2010-11,5.9,9.0,10.25,75.25,77.0,101.0,216.0,81.25,10.88,,3.31,26.0,32.5,19.0
768,Jerome Jordan,C,2010-11,6.9,9.0,10.25,83.5,84.75,113.0,244.2,89.25,,,,,,
769,Sylven Landesberg,SG,2010-11,11.6,8.75,10.75,76.75,78.25,100.5,210.0,81.0,11.59,,3.36,28.0,32.0,8.0
770,Gani Lawal,PF,2010-11,6.3,8.5,10.0,79.5,81.0,107.5,233.4,84.0,11.61,,3.24,27.0,31.5,20.0
771,Greg Monroe,PF-C,2010-11,11.2,8.75,9.5,81.75,83.0,108.5,246.6,86.25,12.1,,3.35,25.0,29.0,15.0
772,Daniel Orton,C,2010-11,13.8,8.5,9.75,80.75,81.5,110.5,269.2,88.25,12.32,,3.39,24.0,30.5,13.0
773,Artsiom Parakhouski,C,2010-11,6.0,9.0,10.5,82.25,83.75,109.5,268.2,85.0,12.07,,3.33,25.5,26.5,16.0
774,Patrick Patterson,PF,2010-11,5.3,9.25,10.25,80.0,81.25,107.0,239.6,85.25,11.14,,3.25,28.5,33.5,17.0
775,Dexter Pittman,PF-C,2010-11,20.8,10.25,10.5,81.5,83.5,111.0,302.6,90.0,,,,,,
776,Andy Rautins,SG,2010-11,6.2,8.0,9.75,76.25,77.0,100.0,191.6,79.0,11.27,,3.49,23.5,30.5,8.0
777,Ryan Richards,PF,2010-11,8.0,9.0,9.75,82.5,83.75,110.0,230.2,85.5,11.33,,3.37,25.0,28.5,4.0
778,Stanley Robinson,SF,2010-11,8.3,9.0,9.0,78.5,79.75,107.5,213.2,84.0,11.65,,3.23,,37.5,6.0
779,Larry Sanders,PF-C,2010-11,4.6,9.75,11.0,81.25,82.5,112.0,222.4,89.75,12.49,,3.27,25.5,28.0,7.0
780,Jon Scheyer,PG-SG,2010-11,5.4,7.75,9.5,76.75,78.0,99.0,180.0,75.25,,,,,,
781,Lance Stephenson,SG,2010-11,9.3,9.0,10.25,76.5,77.75,103.0,227.0,82.5,11.39,,3.38,27.0,33.0,10.0
782,Mikhail Torrance,PG,2010-11,7.0,8.75,9.5,76.0,77.0,103.0,208.8,79.5,11.43,,3.17,23.0,32.0,8.0
783,Evan Turner,SG,2010-11,8.6,8.75,9.5,77.75,79.0,103.5,213.8,80.0,11.06,,3.27,27.5,34.5,9.0
784,Ekpe Udoh,PF,2010-11,8.0,9.5,8.75,80.75,81.75,106.5,237.4,88.5,11.15,,3.29,31.0,33.5,10.0
785,Jarvis Varnado,PF-C,2010-11,9.5,9.25,9.5,80.25,82.0,109.5,210.2,87.5,11.61,,3.37,29.5,32.5,3.0
786,Greivis Vasquez,PG-SG,2010-11,8.6,7.75,9.25,77.0,78.5,101.0,210.8,79.0,,,,,,
787,John Wall,PG,2010-11,5.6,8.25,9.5,74.75,76.0,101.5,195.6,81.25,10.84,,3.14,30.0,39.0,
788,Willie Warren,SG-PG,2010-11,7.6,8.5,9.5,74.5,75.75,99.5,208.4,78.0,11.21,,3.5,23.0,31.5,10.0
789,Terrico White,SG-PG,2010-11,3.7,9.0,10.5,75.75,77.0,101.0,202.6,81.0,11.38,,3.15,31.0,40.0,10.0
790,Hassan Whiteside,C-PF,2010-11,5.5,8.25,10.25,82.5,83.5,113.0,226.6,91.0,11.83,,3.54,27.0,31.5,12.0
791,Keith Benson,C-PF,2011-12,6.1,9.5,11.0,82.0,83.0,109.5,217.0,87.75,11.88,,3.35,31.5,36.0,12.0
792,Marshon Brooks,SG,2011-12,5.2,9.0,10.5,76.25,77.25,101.0,194.6,85.0,10.74,,3.09,34.0,38.5,5.0
793,Alec Burks,SG,2011-12,5.1,9.0,8.25,77.0,78.0,103.5,192.6,82.0,10.96,,3.17,29.0,36.0,5.0
794,Jimmy Butler,SF,2011-12,5.4,9.0,9.0,78.0,79.75,101.5,222.2,79.5,11.12,,3.15,32.0,39.0,14.0
795,Norris Cole,PG,2011-12,4.7,8.5,9.5,72.25,73.75,95.5,174.4,74.25,10.07,,3.22,29.5,38.5,11.0
796,Jon Diebler,SG,2011-12,8.5,8.25,8.25,77.25,78.5,99.0,196.6,78.0,10.94,,3.37,28.0,35.0,2.0
797,Michael Dunigan,PF-C,2011-12,8.0,9.0,10.75,80.5,82.0,107.5,237.6,87.25,11.85,,3.27,29.5,34.5,10.0
798,LaceDarius Dunn,SG,2011-12,5.5,9.0,10.25,75.0,76.0,101.0,187.8,78.25,11.45,,3.27,26.5,31.0,3.0
799,Kenneth Faried,PF,2011-12,6.3,8.5,10.25,78.0,79.5,108.0,224.6,84.0,11.35,,3.26,30.5,35.0,16.0
800,James Fredette,PG,2011-12,7.7,8.0,8.5,72.75,74.5,96.5,196.0,76.5,10.42,,3.21,28.0,33.0,14.0
801,Andrew Goudelock,PG,2011-12,9.9,8.25,9.25,73.25,74.75,96.5,197.6,76.25,10.33,,3.1,32.5,37.0,4.0
802,Jordan Hamilton,SF,2011-12,9.8,9.0,9.25,78.75,80.5,104.0,228.4,81.5,11.47,,3.3,25.0,32.0,7.0
803,Justin Harper,PF-SF,2011-12,4.0,9.0,9.25,80.0,80.75,106.0,228.0,83.75,11.92,,3.3,28.5,33.0,19.0
804,Tobias Harris,SF-PF,2011-12,8.4,8.75,9.0,78.5,79.75,103.5,222.8,83.0,10.96,,3.17,31.5,37.5,12.0
805,Tyler Honeycutt,SF,2011-12,5.3,8.5,9.5,78.75,80.25,105.0,186.8,81.0,11.68,,3.07,30.0,37.0,
806,Scotty Hopson,SG,2011-12,4.8,8.5,10.0,77.75,78.5,103.5,204.6,82.5,10.47,,3.18,32.5,36.0,10.0
807,Kyrie Irving,PG,2011-12,10.2,8.25,9.25,73.75,75.5,99.0,191.0,76.0,,,,,,
808,Rick Jackson,PF,2011-12,8.3,8.75,9.5,80.25,81.25,106.5,241.8,86.0,11.51,,3.26,28.5,33.0,9.0
809,Charles Jenkins,PG-SG,2011-12,4.3,8.5,9.0,73.5,75.25,96.5,216.4,79.5,11.68,,3.18,29.5,34.0,16.0
810,JaJuan Johnson,PF,2011-12,7.5,9.0,10.0,81.0,82.0,107.5,219.8,86.0,11.21,,3.14,33.5,38.0,15.0
811,Cory Joseph,PG,2011-12,9.7,8.5,10.5,74.0,75.25,99.0,186.2,77.5,10.75,,3.27,27.5,35.0,5.0
812,Enes Kanter,PF-C,2011-12,5.9,9.5,10.75,81.75,83.25,109.5,259.2,85.5,11.3,,3.26,26.0,32.5,14.0
813,Brandon Knight,PG,2011-12,4.2,8.25,9.5,73.5,75.25,98.5,176.8,78.75,10.74,,3.07,29.0,37.5,10.0
814,Malcolm Lee,SG,2011-12,5.9,8.5,9.5,76.0,77.5,101.5,198.2,81.75,11.2,,3.09,30.0,35.5,17.0
815,Kawhi Leonard,SF,2011-12,5.4,9.75,11.25,78.0,79.0,106.0,227.4,87.0,11.45,,3.15,25.5,32.0,3.0
816,Travis Leslie,SG,2011-12,8.1,8.75,9.25,75.0,76.25,103.0,205.0,82.5,11.0,,3.13,33.0,40.5,10.0
817,Jon Leuer,PF,2011-12,5.4,8.75,9.75,82.0,83.5,105.5,223.2,84.0,10.82,,3.36,29.5,36.5,14.0
818,DeAndre Liggins,SF-SG,2011-12,5.0,8.75,10.0,77.0,78.25,103.5,202.2,83.0,,,3.33,27.0,31.0,6.0
819,David Lighty,SG,2011-12,6.5,9.0,10.0,76.75,78.5,101.0,216.2,80.0,10.81,,3.25,28.5,33.0,15.0
820,Shelvin Mack,PG,2011-12,7.1,8.25,9.25,73.0,74.5,96.5,209.0,79.5,11.23,,3.18,32.0,39.0,17.0
821,Demetri McCamey,PG,2011-12,6.1,8.5,9.0,73.75,75.25,99.5,204.0,78.25,11.55,,3.19,27.0,33.0,
822,E'Twaun Moore,SG,2011-12,7.6,9.0,10.0,74.5,76.0,99.5,191.4,81.5,11.12,,3.31,32.0,34.5,
823,Marcus Morris,PF-SF,2011-12,8.0,8.25,8.5,79.0,80.75,105.5,229.6,82.0,,,3.15,29.0,33.0,11.0
824,Markieff Morris,PF,2011-12,10.2,8.5,8.25,79.75,81.25,106.5,240.8,82.75,,,3.4,27.0,31.5,11.0
825,Darius Morris,PG-SG,2011-12,5.3,8.75,10.0,75.25,77.25,102.0,190.0,79.5,11.0,,3.2,24.5,32.0,12.0
826,Chandler Parsons,SF,2011-12,7.0,8.25,10.0,80.75,81.75,104.5,221.2,81.5,11.05,,3.29,25.5,31.5,4.0
827,Jereme Richmond,SF,2011-12,5.5,8.75,9.5,78.0,79.25,106.5,207.2,82.25,11.74,,3.02,27.0,33.5,
828,Josh Selby,SG-PG,2011-12,7.9,8.5,9.0,73.75,75.0,98.0,194.6,77.25,11.13,,3.2,29.5,42.0,5.0
829,Iman Shumpert,PG-SG,2011-12,6.5,9.0,9.0,76.25,77.5,99.5,221.8,81.5,11.1,,3.18,36.5,42.0,18.0
830,Kyle Singler,SF,2011-12,10.0,8.25,8.75,79.5,80.5,106.0,228.0,82.1,11.22,,3.21,23.0,30.0,10.0
831,Chris Singleton,SF,2011-12,7.4,9.25,10.0,79.75,81.0,103.5,230.2,85.0,11.33,,3.09,30.5,37.5,15.0
832,Jamie Skeen,PF,2011-12,9.8,8.5,8.5,78.5,80.0,106.5,241.6,85.25,12.43,,3.46,26.0,30.5,10.0
833,Nolan Smith,PG,2011-12,5.6,8.5,9.25,73.5,75.5,99.0,187.6,77.5,11.05,,3.17,28.5,34.0,9.0
834,Gregory Smith,PF-C,2011-12,7.4,9.75,12.0,80.0,81.25,106.5,252.8,86.5,12.43,,3.36,29.5,36.0,17.0
835,Malcolm Thomas,PF,2011-12,5.9,9.5,10.5,79.5,80.75,107.5,223.0,84.5,11.31,,3.29,32.0,36.5,3.0
836,Isaiah Thomas,PG,2011-12,6.7,8.25,9.0,68.75,70.25,91.5,186.0,73.75,10.49,,3.14,31.5,40.0,13.0
837,Trey Thompkins,PF,2011-12,15.5,9.25,9.75,80.5,81.75,107.5,239.0,85.0,11.72,,3.41,27.5,30.5,15.0
838,Tristan Thompson,PF,2011-12,6.2,8.75,9.25,79.5,80.75,108.5,227.4,85.25,10.92,,3.26,30.0,35.0,9.0
839,Klay Thompson,SG,2011-12,8.0,8.75,9.25,77.75,79.25,103.5,205.6,81.0,10.99,,3.24,26.5,31.5,5.0
840,Jeremy Tyler,PF-C,2011-12,13.4,9.25,9.0,81.0,82.5,110.5,262.4,89.0,11.26,,3.29,28.0,33.5,10.0
841,Nikola Vucevic,PF-C,2011-12,6.1,9.25,10.25,82.25,83.75,112.5,259.8,88.5,12.02,,3.27,23.5,25.0,8.0
842,Kemba Walker,PG,2011-12,5.9,8.0,9.0,71.5,73.0,91.5,184.0,75.5,10.87,,3.16,32.0,39.5,7.0
843,Jordan Williams,PF,2011-12,12.1,9.25,10.0,79.75,81.0,106.5,247.2,84.25,12.74,,3.45,25.0,30.5,10.0
844,Derrick Williams,PF-SF,2011-12,10.8,9.0,9.75,79.25,80.75,108.0,248.4,85.5,11.03,,3.23,29.0,34.5,19.0
845,Quincy Acy,PF,2012-13,7.1,9.5,11.0,78.5,79.75,106.5,223.8,86.75,10.48,,3.28,32.0,37.0,13.0
846,Harrison Barnes,SF-SG,2012-13,9.6,9.0,8.5,79.0,80.0,101.5,227.8,83.25,10.93,,3.16,38.0,39.5,15.0
847,Will Barton,SG-SF,2012-13,4.1,9.0,9.5,77.0,78.0,102.5,174.4,81.75,12.5,,3.6,30.0,34.0,
848,Bradley Beal,SG,2012-13,6.0,8.5,9.0,75.25,76.75,100.0,201.8,80.0,10.95,,3.28,33.0,39.0,8.0
849,J'Covan Brown,PG,2012-13,12.5,7.75,8.25,73.0,74.25,96.0,202.4,77.25,11.68,,3.47,26.0,29.5,3.0
850,William Buford,SG-SF,2012-13,11.3,8.75,10.0,76.0,77.0,102.0,214.6,81.5,11.4,,3.43,27.5,32.5,8.0
851,Jae Crowder,SF,2012-13,9.0,9.5,10.5,76.75,78.5,99.5,241.2,81.25,11.45,,3.37,31.0,34.5,20.0
852,Jared Cunningham,SG-PG,2012-13,3.6,8.25,9.0,75.5,77.0,98.0,187.6,78.5,,,,,,4.0
853,Anthony Davis,PF-C,2012-13,7.9,9.0,8.5,81.25,82.5,108.0,221.8,89.5,,,,,,
854,Marcus Denmon,SG,2012-13,6.6,8.25,9.75,74.25,75.25,94.5,188.2,77.0,10.82,,3.19,33.5,40.0,8.0
855,Andre Drummond,C,2012-13,7.5,9.5,9.5,81.75,83.75,109.5,278.6,90.25,10.83,,3.39,31.5,33.5,10.0
