,Season,Team,W,G,L,W%,FG%,2P%,3P%,FT%,TS%,eFG%,MP/G,FG/G,FGA/G,2P/G,2PA/G,3P/G,3PA/G,FT/G,FTA/G,ORB/G,DRB/G,TRB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,PTS/G
183,2018,DEN,54,82,28,0.659,0.466,0.527,0.351,0.755,0.558,52.688,240.609756097561,41.9390243902439,90.04878048780488,30.926829268292682,58.69512195121951,11.012195121951219,31.353658536585368,15.78048780487805,20.902439024390244,11.853658536585366,34.53658536585366,46.390243902439025,27.378048780487806,7.7317073170731705,4.426829268292683,13.439024390243903,20.048780487804876,110.67073170731707
184,2013,POR,54,82,28,0.659,0.45,0.481,0.372,0.815,0.548,50.35,242.1341463414634,39.109756097560975,87.0,29.71951219512195,61.74390243902439,9.390243902439025,25.25609756097561,19.134146341463413,23.48780487804878,12.463414634146341,33.97560975609756,46.4390243902439,23.21951219512195,5.536585365853658,4.719512195121951,13.71951219512195,19.21951219512195,106.7439024390244
185,2013,MIA,54,82,28,0.659,0.501,0.558,0.364,0.76,0.59,55.397,242.4390243902439,38.31707317073171,76.48780487804878,30.20731707317073,54.18292682926829,8.109756097560975,22.304878048780488,17.451219512195124,22.975609756097562,7.646341463414634,29.23170731707317,36.8780487804878,22.524390243902438,8.926829268292684,4.475609756097561,14.78048780487805,19.463414634146343,102.1951219512195
186,2013,HOU,54,82,28,0.659,0.472,0.529,0.358,0.712,0.571,53.12,241.82926829268294,38.02439024390244,80.52439024390245,28.524390243902438,53.951219512195124,9.5,26.573170731707318,22.121951219512194,31.085365853658537,11.21951219512195,34.109756097560975,45.329268292682926,21.402439024390244,7.573170731707317,5.621951219512195,16.134146341463413,20.4390243902439,107.67073170731707
187,2012,NYK,54,82,28,0.659,0.448,0.487,0.376,0.759,0.55,51.45,240.609756097561,36.53658536585366,81.57317073170732,25.670731707317074,52.65853658536585,10.865853658536585,28.914634146341463,16.01219512195122,21.085365853658537,10.853658536585366,29.70731707317073,40.5609756097561,19.25609756097561,8.195121951219512,3.5853658536585367,12.048780487804878,20.121951219512194,99.95121951219512
188,2009,PHO,54,82,28,0.659,0.492,0.52,0.412,0.77,0.585,54.567,240.609756097561,40.71951219512195,82.78048780487805,31.817073170731707,61.19512195121951,8.902439024390244,21.585365853658537,19.890243902439025,25.817073170731707,11.097560975609756,31.902439024390244,43.0,23.317073170731707,5.841463414634147,5.097560975609756,14.75609756097561,20.890243902439025,110.23170731707317
189,2008,DEN,54,82,28,0.659,0.47,0.499,0.371,0.76,0.563,51.183,240.609756097561,37.292682926829265,79.39024390243902,30.609756097560975,61.3780487804878,6.682926829268292,18.01219512195122,23.0609756097561,30.329268292682926,11.036585365853659,30.573170731707318,41.609756097560975,22.195121951219512,8.658536585365853,6.0,15.329268292682928,22.853658536585368,104.32926829268293
190,2008,POR,54,82,28,0.659,0.465,0.49,0.383,0.765,0.553,51.063,241.82926829268294,36.80487804878049,79.1951219512195,29.536585365853657,60.23170731707317,7.2682926829268295,18.963414634146343,18.548780487804876,24.24390243902439,12.926829268292684,28.78048780487805,41.707317073170735,20.329268292682926,6.7073170731707314,4.902439024390244,12.865853658536585,20.378048780487806,99.42682926829268
191,2008,SAS,54,82,28,0.659,0.466,0.492,0.386,0.761,0.548,51.339,242.7439024390244,37.09756097560975,79.6829268292683,29.475609756097562,59.926829268292686,7.621951219512195,19.75609756097561,15.231707317073171,20.01219512195122,8.878048780487806,32.170731707317074,41.048780487804876,21.170731707317074,5.780487804878049,4.012195121951219,11.74390243902439,18.853658536585368,97.04878048780488
192,2007,UTA,54,82,28,0.659,0.497,0.522,0.372,0.759,0.573,52.829,240.3048780487805,39.98780487804878,80.39024390243902,35.02439024390244,67.03658536585365,4.963414634146342,13.353658536585366,21.28048780487805,28.024390243902438,11.487804878048781,29.390243902439025,40.8780487804878,26.402439024390244,8.74390243902439,4.329268292682927,14.634146341463415,24.024390243902438,106.21951219512195
193,2005,PHO,54,82,28,0.659,0.479,0.511,0.399,0.806,0.568,53.698,243.35365853658536,41.829268292682926,87.40243902439025,31.621951219512194,61.829268292682926,10.207317073170731,25.573170731707318,14.5,17.98780487804878,9.487804878048781,32.31707317073171,41.80487804878049,26.573170731707318,6.695121951219512,5.024390243902439,13.268292682926829,20.524390243902438,108.36585365853658
194,2004,DET,54,82,28,0.659,0.444,0.463,0.345,0.739,0.519,47.228,243.35365853658536,34.76829268292683,78.3048780487805,30.341463414634145,65.46341463414635,4.426829268292683,12.841463414634147,19.365853658536587,26.21951219512195,12.853658536585366,30.573170731707318,43.426829268292686,21.79268292682927,7.024390243902439,6.060975609756097,13.817073170731707,19.975609756097562,93.32926829268293
195,2003,DET,54,82,28,0.659,0.435,0.452,0.344,0.753,0.511,46.143,241.21951219512195,33.5,77.0,29.4390243902439,65.1951219512195,4.060975609756097,11.804878048780488,19.036585365853657,25.29268292682927,12.365853658536585,30.390243902439025,42.75609756097561,20.75609756097561,8.036585365853659,6.951219512195122,15.134146341463415,20.29268292682927,90.09756097560975
196,1996,CHH,54,82,28,0.659,0.471,0.483,0.428,0.777,0.562,51.774,241.52439024390245,36.4390243902439,77.34146341463415,29.23170731707317,60.48780487804878,7.2073170731707314,16.853658536585368,18.79268292682927,24.195121951219512,11.097560975609756,28.024390243902438,39.1219512195122,24.646341463414632,7.280487804878049,4.2560975609756095,14.670731707317072,20.75609756097561,98.8780487804878
197,1996,DET,54,82,28,0.659,0.464,0.488,0.388,0.745,0.554,51.157,241.82926829268294,34.47560975609756,74.32926829268293,27.378048780487806,56.048780487804876,7.097560975609756,18.28048780487805,18.134146341463413,24.329268292682926,10.463414634146341,27.951219512195124,38.41463414634146,18.951219512195124,7.7073170731707314,3.451219512195122,12.695121951219512,20.146341463414632,94.1829268292683
198,1992,CLE,54,82,28,0.659,0.497,0.511,0.381,0.802,0.565,51.786,241.82926829268294,41.76829268292683,83.98780487804878,38.31707317073171,74.9390243902439,3.451219512195122,9.048780487804878,20.71951219512195,25.841463414634145,11.329268292682928,30.4390243902439,41.76829268292683,28.646341463414632,7.5,6.536585365853658,13.658536585365853,19.26829268292683,107.70731707317073
199,1990,UTA,54,82,28,0.659,0.492,0.504,0.323,0.789,0.559,50.298,241.21951219512195,39.19512195121951,79.71951219512195,37.390243902439025,74.13414634146342,1.8048780487804879,5.585365853658536,23.79268292682927,30.146341463414632,10.573170731707316,30.170731707317074,40.74390243902439,27.036585365853657,7.951219512195122,5.5,15.914634146341463,21.902439024390244,103.98780487804878
