player,pos,lane_agility_s,shuttle_run_s,three_q_sprint_s,standing_vert_in,max_vert_in,max_bench_reps,year
Jeff Newton,PF,11.18,-,3.23,27.5,34.0,9,2003-04
Uche Nsonwu-Amadi,PF-C,11.83,-,3.25,27.5,29.0,21,2003-04
Ugonna Okyekwe,SF,11.43,-,3.20,32.0,36.5,8,2003-04
Marlon Parmer,PG,-,-,3.42,28.0,32.0,13,2003-04
Stephane Pelle,PF-SF,11.37,-,3.27,28.5,33.0,17,2003-04
Kirk Penney,SG-SF,10.44,-,3.04,32.0,35.5,15,2003-04
Pavel Podkolzin,C,13.40,-,3.80,19.5,22.5,5,2003-04
Josh Powell,PF-SF,11.72,-,3.20,32.5,38.5,15,2003-04
Hollis Price,PG-SG,10.72,-,3.25,27.5,33.0,1,2003-04
Luke Ridnour,PG,11.00,-,3.28,26.0,32.5,-,2003-04
Joe Shipp,SG,11.75,-,3.20,29.0,34.5,17,2003-04
Ron Slay,SF-PF,12.01,-,3.43,28.5,31.5,10,2003-04
Theron Smith,PF-SF,10.99,-,3.10,28.5,32.0,25,2003-04
Tommy Smith,PF-SF,11.54,-,3.14,30.0,33.0,2,2003-04
Marvin Stone,C-PF,12.10,-,3.50,25.5,27.5,9,2003-04
Michael Sweetney,PF,12.90,-,3.28,26.0,31.5,3,2003-04
Sasha Vujacic,PG-SG,-,-,-,-,-,-,2003-04
Dwyane Wade,SG-SF,10.56,-,3.08,31.5,35.0,9,2003-04
Wayne Wallace,PF,11.85,-,3.24,29.5,36.0,6,2003-04
Luke Walton,SF-PF,-,-,-,28.0,-,12,2003-04
David West,PF-SF,12.18,-,3.43,28.5,31.5,11,2003-04
Mo Williams,PG-SG,-,-,-,-,-,3,2003-04
Wesley Wilson,C-PF,12.19,-,3.30,27.0,30.5,20,2003-04
Doug Wrenn,SF-PF,11.38,-,3.17,34.5,41.0,15,2003-04
Derrick Zimmerman,PG,11.09,-,3.10,34.0,40.5,13,2003-04
Tony Allen,SG,10.70,-,3.19,31.5,36.5,17,2004-05
Trevor Ariza,SG-SF,11.63,-,3.29,29.5,32.0,8,2004-05
Andre Barrett,PG,10.63,-,3.08,29.0,34.5,13,2004-05
Brandon Bass,PF,11.61,-,3.24,31.5,33.0,18,2004-05
Andris Biedrins,C,-,-,-,-,-,-,2004-05
