Rk,Player,PTS/G,Draft Team,Round,Pick,Draft Year,Draft College,Season,Team,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Class,-9999
1289,Joey Dorsey,8.5,POR,2,33,2008,Memphis,2006-07,Memphis,37,37,25.2,3.3,5.3,3.3,5.3,0.0,0.0,1.9,4.1,4.4,5.0,9.4,0.4,1.4,2.2,1.7,2.9,8.5,.614,.614,,.467,.581,.614,F,JR,joey-dorsey-1
1290,Jrue Holiday,8.5,PHI,1,17,2009,UCLA,2008-09,UCLA,35,35,27.1,3.2,7.1,2.4,4.6,0.8,2.5,1.3,1.8,1.3,2.5,3.8,3.7,1.6,0.5,2.1,2.1,8.5,.450,.528,.307,.726,.532,.504,G,FR,jrue-holiday-1
1291,Solomon Alabi,8.4,DAL,2,50,2010,Florida State,2008-09,Florida State,35,35,22.3,3.5,6.5,3.5,6.4,0.0,0.0,1.5,2.1,2.1,3.5,5.6,0.3,0.5,2.1,1.6,1.9,8.4,.540,.542,.000,.680,.564,.540,C,SO,solomon-alabi-1
1292,Jacob Evans,8.4,GSW,1,28,2018,Cincinnati,2015-16,Cincinnati,33,8,24.4,2.8,7.7,1.5,3.6,1.4,4.1,1.4,1.7,1.1,3.0,4.1,1.6,0.8,0.8,0.8,1.8,8.4,.372,.415,.333,.804,.497,.460,G,FR,jacob-evans-1
1293,Jon Brockman,8.4,POR,2,38,2009,Washington,2005-06,Washington,33,32,24.1,3.5,6.8,3.5,6.8,0.0,0.0,1.4,2.1,2.6,3.9,6.5,0.7,1.1,0.1,1.4,2.5,8.4,.518,.518,,.667,.541,.518,F,FR,jon-brockman-1
1294,Terance Mann,8.4,LAC,2,48,2019,Florida State,2016-17,Florida State,35,34,25.0,3.3,5.7,3.1,5.0,0.2,0.7,1.7,2.5,1.9,2.7,4.5,1.7,1.0,0.2,1.2,2.3,8.4,.576,.611,.304,.663,.612,.593,G,SO,terance-mann-1
1295,Kadeem Allen,8.4,BOS,2,53,2017,Arizona,2015-16,Arizona,34,28,24.9,2.9,6.3,2.4,4.9,0.5,1.5,2.0,2.8,0.2,2.9,3.1,3.6,1.0,0.8,2.0,2.4,8.4,.465,.497,.360,.705,.548,.507,G,JR,kadeem-allen-1
1296,Nolan Smith,8.4,POR,1,21,2011,Duke,2008-09,Duke,34,21,21.6,2.9,6.8,2.1,4.5,0.8,2.3,1.8,2.1,0.7,1.5,2.2,1.7,0.9,0.1,1.6,2.1,8.4,.426,.467,.346,.849,.538,.485,G,SO,nolan-smith-1
1297,Quentin Grimes,8.4,LAC,1,25,2021,Houston,2018-19,Kansas,36,36,27.4,2.9,7.7,1.4,3.3,1.5,4.4,1.0,1.6,0.5,2.0,2.5,2.0,0.6,0.2,1.9,2.4,8.4,.384,.444,.340,.603,.496,.482,G,FR,quentin-grimes-1
1298,Branden Dawson,8.4,NOH,2,56,2015,Michigan State,2011-12,Michigan State,31,31,20.6,3.5,6.1,3.5,6.0,0.0,0.1,1.3,2.2,2.2,2.3,4.5,0.9,0.9,0.8,1.4,1.3,8.4,.577,.586,.000,.594,.584,.577,F,FR,branden-dawson-1
