Player,2P,3P,FT,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FG%,Pos_G,Pos_F,Pos_C
Jalen Bridges,-1.3383902624944297,0.46427334574081713,-1.1369554813349625,0.4360943688733014,-0.7067364016615288,-0.9032528540175614,-0.5009276756740966,-0.2373213375779658,-1.5758410831086211,-0.8954967786203661,-1.001730134626887,-0.03379953428364434,0,1,0
Jamal Shead,-0.528225728394517,0.09111194221986958,-0.9154752121941848,-1.0603811999608952,-0.9846386492869275,2.2171188243537623,1.4642593923276108,-0.688469269739514,0.0835202162893818,-0.02973070026799603,-0.5748495960427656,-1.2212336770383605,1,0,0
Jared McCain,-0.9701336560853785,1.7081446908106432,-0.6386248763911259,-0.9143835837830419,0.150128861618531,-0.2707450813319885,0.02312220978142131,-0.9345499597857395,-0.9595068863112748,-1.3283798177965511,0.23622342990518747,-0.441203715594359,1,0,0
Jaylen Wells,-1.2647389412126195,1.3349832872896956,-0.47251467474318054,-0.47639073415450006,-0.40567563363226594,-0.7135005222118895,-1.1559900310196034,-0.8115096147626265,-1.812892697917897,-0.679055259032274,-0.19919472040853672,-0.8287345269329764,0,1,0
Johnny Furphy,-1.5593442263398605,0.3398862112338347,-0.8047350780390715,-0.3668925217473645,-0.26672450981956664,-0.8400020767490041,-0.36991520381892035,-0.688469269739514,-1.6706617293167931,-0.2461722198560887,-1.1212566857787756,-0.3815835907730333,1,0,0
Justin Edwards,-1.0437849773671888,-0.03327519228711312,-1.3861207838068808,-0.47639073415450006,-1.2393823765084608,-0.9032528540175614,-0.36991520381892035,-0.8115096147626265,-1.6706617293167931,-0.02973070026799603,-1.1724823505215665,-0.08348296666640527,1,0,0
KJ Simpson,0.5028927695508266,1.3349832872896956,1.271642442560248,-0.9143835837830419,0.775408918775677,1.6267782367247305,1.005715743782275,-0.9345499597857395,0.3205718310986583,0.619593858496281,1.6193163779605455,-0.24743830992505111,1,0,0
Keshad Johnson,-0.9701336560853785,-0.7174044320755175,-1.1369554813349625,-0.20264520313666137,-0.4925200860152029,-0.8083766881147254,-0.91034164751939,-0.35010832092595373,-1.3506420499643101,-1.65304209717869,-1.479836338978313,0.37484674289753694,0,1,0
Kevin McCullar Jr.,-0.3625102555104439,-0.0021784086603675833,0.10887103102462894,-0.5858889465616354,0.6190889044863906,0.37757538567072363,1.10397509718236,-0.41162849343751007,0.07166763604672648,0.9442561378784194,-0.2568235932441766,-0.9330697453702965,1,0,0
Kyle Filipowski,0.6870210727553523,0.02891837496637823,0.3995638839085337,0.7828387085275581,1.6091156616518723,-0.08099274952631648,0.2196409165815918,0.2958534904453886,0.4628027996997614,1.268918417260558,0.6076094992904224,-0.277248372335714,0,0,1
Melvin Ajinca,-1.706646868903481,0.7130476147547826,-0.970845279687017,-0.695387158968771,-1.1699068146021114,-0.9665036312861186,-1.1559900310196034,-1.0575903048088522,-1.9551236665190006,-0.02973070026799603,-1.0444181886645887,-1.7379414304581935,0,1,0
N'Faly Dante,2.4178271228778927,-1.277146537356939,0.1919261318486018,1.2755806643596674,1.678591223558222,-0.46049741313766024,1.2022344505824456,1.280176250630291,0.6050337683008652,-0.2461722198560887,0.9277699039328664,3.0316685552478626,0,0,1
Nikola Djurisic,-0.528225728394517,-0.1576623267940957,-0.05723917062331672,-1.352376433411584,-1.3088579384148105,0.42501346862214173,-0.36991520381892035,-0.8115096147626265,1.0317266741041766,0.8360353780843737,-0.4809358764938874,-0.9628798077809595,0,1,0
Nikola Topic,-0.528225728394517,-0.5308237303150435,-0.555569775567153,-1.2428782210044484,-1.5172846241338596,1.1207720185762717,-0.9594713242194327,-0.9345499597857395,0.036109893896450695,0.619593858496281,-0.8139026973220295,0.05066231418157769,1,0,0
Oso Ighodaro,0.429241448269016,-1.277146537356939,-1.1092704480038218,0.2900967526954482,-0.3130415513220517,0.024425212798781522,-0.43542143876391504,0.45990728339940445,-0.8172759177101714,-0.02973070026799603,-0.8395155296934249,2.172145084105406,0,1,0
PJ Hall,1.0921033398053084,0.46427334574081713,0.5241465351444927,-0.03839788452595802,0.5669822330566283,-0.586998967674775,-0.5664339106190911,0.6649745255147268,-0.10612107470465308,1.918242976024836,1.2607367247610084,-0.05367290425574239,0,1,0
Pacome Dadiet,-1.8539495114671012,-0.6552108648220261,-1.8013962879267444,-1.352376433411584,-2.2120402431973556,-1.2827575176289052,-1.1559900310196034,-0.8115096147626265,-1.812892697917897,-1.9777043765608284,-2.248221310120179,-0.6349691212636678,0,1,0
Pelle Larsson,-1.0683354175489543,0.00818718546725739,-0.3894595739192077,-0.7683859676051887,-0.6835778812576643,0.34067909914156796,-0.5009276756740966,-0.8115096147626265,-0.39058301190686034,0.5474466860217222,-0.8736659727699093,-0.02883118061184612,1,0,0
Reece Beekman,-0.7491796922399476,-0.40643659580806096,-0.7216799772150987,-1.3888758371823016,-0.8225290050703635,1.5846110516681893,1.1367282156374514,-0.48340202762419143,-0.48540365811503267,-1.616968509859203,-0.9931925239217979,-1.216265338271594,1,0,0
Reed Sheppard,-1.2647389412126195,1.5837575563036603,-1.0539003805109897,-1.352376433411584,-0.1277733860068676,1.373775127650501,2.774384104983812,-0.19630788964706272,0.036109893896450695,-0.679055259032274,-0.22480755277993217,0.6617685936001667,1,0,0
Rob Dillingham,-0.2336204432672761,1.210596152782713,-0.3894595739192077,-1.4618746458187193,-0.8920045669767129,0.9942704640391573,-0.17339649701874962,-0.9345499597857395,0.036109893896450695,0.8360353780843737,0.4667389212477468,-0.24743830992505111,1,0,0
