player,pos,year,bodyfat%,hand_len_in,hand_width_in,height_wo_shoes,height_w_shoes,standing_reach,weight_lbs,wingspan,lane_agility_s,shuttle_run_s,three_q_sprint_s,standing_vert_in,max_vert_in,max_bench_reps
Kenny Adeleke,PF-C,2006-07,10.50%,-,-,6' 6.5'',6' 7.75'',8' 8'',250,6' 10.25'',11.57,-,3.47,28.5,30.5,26
Maurice Ager,SG-PG,2006-07,8.00%,-,-,6' 3.25'',6' 4.5'',8' 5.5'',203,6' 7.75'',11.73,-,3.22,29.5,35,11
LaMarcus Aldridge,PF-C,2006-07,8.70%,-,-,6' 10'',6' 11.25'',9' 2'',234,7' 4.75'',12.02,-,3.43,26.5,34,8
Morris Almond,SG-SF,2006-07,6.90%,-,-,6' 4.75'',6' 6'',8' 6.5'',214,6' 10'',11.45,-,3.19,31,35.5,13
Lou Amundson,PF,2006-07,6.80%,-,-,6' 7.2'',6' 8'',8' 7.5'',221,6' 11.5'',10.58,-,3.2,32,35.5,14
Rashad Anderson,SG,2006-07,17.30%,-,-,6' 3.25'',6' 4.5'',8' 4'',224,6' 7'',11.77,-,3.48,27.5,32.5,13
Hilton Armstrong,C-PF,2006-07,6.30%,-,-,6' 9.5'',6' 10.25'',9' 1'',240,7' 4'',12.28,-,3.53,28.5,31.5,13
James Augustine,PF,2006-07,5.50%,-,-,6' 8.25'',6' 9.75'',8' 8'',227,7' 0.25'',10.54,-,3.25,30,32.5,13
Renaldo Balkman,SF-PF,2006-07,4.90%,-,-,6' 5.25'',6' 6.5'',8' 8.5'',206,7' 1'',11.58,-,3.22,30.5,35,9
J.P. Batista,PF,2006-07,12.00%,-,-,6' 7.5'',6' 8.5'',8' 7.5'',265,6' 10'',11.62,-,3.38,26,30.5,26
Will Blalock,PG,2006-07,7.20%,-,-,5' 11.25'',6' 0.5'',8' 0.5'',194,6' 6'',11.08,-,3.18,35,40,8
Brandon Bowman,SF,2006-07,8.40%,-,-,6' 6.75'',6' 8.25'',8' 7'',209,6' 11.5'',11.41,-,3.31,31,34,24
Ronnie Brewer,SG-PG,2006-07,5.00%,-,-,6' 5.75'',6' 6.75'',8' 7.5'',223,6' 11.25'',11.32,-,3.14,35,41,19
Denham Brown,SG-SF,2006-07,9.00%,-,-,6' 4'',6' 5'',8' 6.5'',218,6' 9.5'',11.42,-,3.25,28,34.5,12
Brad Buckman,PF,2006-07,10.50%,-,-,6' 7.25'',6' 8.75'',8' 11.5'',238,7' 0'',12.26,-,3.54,25.5,30.5,10
Nik Caner-Medley,SF,2006-07,9.60%,-,-,6' 6.5'',6' 8'',8' 7'',234,6' 9'',10.57,-,3.21,28.5,35.5,17
Rodney Carney,SG-SF,2006-07,5.30%,-,-,6' 4.5'',6' 5.75'',8' 7.5'',204,6' 10'',10.57,-,3.06,32,38.5,10
Keydren Clark,PG,2006-07,11.60%,-,-,5' 9'',5' 10.25'',7' 8.5'',184,6' 2.5'',11.03,-,3.11,31,34,13
Mardy Collins,PG-SG,2006-07,10.00%,-,-,6' 4.25'',6' 5.5'',8' 7'',224,6' 10'',12,-,3.27,31.5,37.5,9
Taquan Dean,SG-PG,2006-07,3.90%,-,-,6' 2'',6' 3'',8' 2'',183,6' 6.75'',10.53,-,3.2,30.5,34.5,16
Terence Dials,PF-C,2006-07,15.80%,-,-,6' 7.75'',6' 9'',8' 10'',253,7' 0'',11.54,-,3.5,26.5,30,16
Sean Dockery,PG-SG,2006-07,7.30%,-,-,6' 0.75'',6' 2'',7' 11.5'',182,6' 4.5'',10.88,-,3.34,29,33,4
Jordan Farmar,PG,2006-07,4.40%,-,-,6' 0.75'',6' 2'',7' 10.5'',171,6' 3'',11.07,-,3.17,33.5,42,11
Randy Foye,SG-PG,2006-07,10.00%,-,-,6' 2.25'',6' 3.25'',8' 1'',212,6' 6.25'',10.53,-,3.23,32,38,14
Torin Francis,PF-C,2006-07,12.40%,-,-,6' 9'',6' 10'',8' 9.5'',247,7' 1'',11.97,-,3.51,26.5,32,9
Rudy Gay,SF-PF,2006-07,5.70%,-,-,6' 7'',6' 8'',8' 11.5'',222,7' 3'',11.03,-,3.32,33,40.5,9
Nick George,SF-SG,2006-07,6.00%,-,-,6' 4'',6' 5.75'',8' 7'',201,6' 10'',11.69,-,3.25,30.5,38,14
Taj Gray,PF-SF,2006-07,6.80%,-,-,6' 7.25'',6' 8.5'',8' 11'',231,7' 0.75'',11.02,-,3.45,28.5,33,10
Dan Grunfeld,SF-SG,2006-07,10.40%,-,-,6' 4.75'',6' 6'',8' 3'',216,6' 6.25'',11.3,-,3.46,28,33.5,16
Matt Haryasz,PF-C,2006-07,9.80%,-,-,6' 9.75'',6' 11'',8' 11.5'',219,7' 0.25'',11.34,-,3.46,27.5,31.5,10
Eric Hicks,PF,2006-07,7.10%,-,-,6' 4.75'',6' 5.5'',8' 9.5'',238,7' 1.5'',12.06,-,3.34,30,34,20
Tedric Hill,SF-PF,2006-07,7.30%,-,-,6' 7.75'',6' 9'',8' 11'',236,7' 1'',12.23,-,3.24,30,36.5,1
Daniel Horton,PG-SG,2006-07,8.00%,-,-,6' 0.5'',6' 2.25'',8' 0.5'',198,6' 7'',10.35,-,3.16,30,36.5,17
Bobby Jones,SF-SG,2006-07,8.00%,-,-,6' 5.75'',6' 6.75'',8' 5.5'',211,6' 9.5'',11.23,-,3.28,28.5,34.5,15
Solomon Jones,PF-C,2006-07,7.40%,-,-,6' 8.5'',6' 9.75'',9' 1'',224,7' 4.75'',11.27,-,3.3,32,39,6
Viktor Keyru,SG-PG,2006-07,5.50%,-,-,6' 5.25'',6' 6'',8' 8'',202,6' 9.25'',11.4,-,3.24,29,34.5,11
Marco Killingsworth,PF,2006-07,19.00%,-,-,6' 5.5'',6' 6.75'',8' 8'',266,7' 3'',11.42,-,3.34,28,32,13
Tarence Kinsey,SF-SG,2006-07,4.10%,-,-,6' 4.75'',6' 5.5'',8' 4.5'',179,6' 6.75'',10.67,-,3.3,29,35.5,5
Carl Krauser,PG,2006-07,8.00%,-,-,5' 11.75'',6' 0.75'',8' 1'',190,6' 6.25'',11.62,-,3.38,26,31,8
Chris McCray,SG,2006-07,9.60%,-,-,6' 3'',6' 4'',8' 0.5'',187,6' 5.75'',11.46,-,3.34,30.5,39,1
Gerry McNamara,PG-SG,2006-07,12.80%,-,-,5' 11.75'',6' 0.5'',7' 8.5'',177,6' 0.75'',11.28,-,3.4,27,32,3
Pops Mensah-Bonsu,PF-C,2006-07,5.80%,-,-,6' 7.5'',6' 9'',8' 9.5'',232,7' 0'',11.47,-,3.29,31.5,36,19
Paul Miller,PF-C,2006-07,13.80%,-,-,6' 8.5'',6' 9.25'',8' 5.5'',251,7' 0'',12.25,-,3.66,29,35.5,25
Paul Millsap,PF,2006-07,9.70%,-,-,6' 6.25'',6' 7.25'',8' 9.5'',258,7' 1.5'',11.67,-,3.3,28.5,32.5,15
Dwayne Mitchell,SG-SF,2006-07,4.50%,-,-,6' 2'',6' 3.25'',8' 2.5'',208,6' 6.5'',11.45,-,3.16,37.5,41.5,17
Adam Morrison,SF,2006-07,6.80%,-,-,6' 6.5'',6' 7.75'',8' 9'',198,6' 10'',11.46,-,3.37,25.5,30.5,11
Yemi Nicholson,PF-C,2006-07,17.20%,-,-,6' 7.75'',6' 9.5'',8' 11'',258,7' 4.25'',12.57,-,3.65,26.5,26,8
David Noel,SF-SG,2006-07,6.10%,-,-,6' 4.5'',6' 6'',8' 4'',223,6' 9.5'',10.54,-,3.07,34.5,38.5,20
Steve Novak,SF,2006-07,8.10%,-,-,6' 8'',6' 9.25'',8' 7'',216,6' 9.5'',11.11,-,3.37,24.5,31,5
Patrick O'Bryant,C,2006-07,10.00%,-,-,6' 11'',7' 0'',9' 5'',249,7' 5.75'',12.68,-,3.63,26.5,30,13
Danilo Pinnock,PG-SG,2006-07,4.60%,-,-,6' 2.75'',6' 4'',8' 4.5'',204,6' 7.5'',11.91,-,3.08,29.5,35.5,7
Chris Quinn,PG-SG,2006-07,5.90%,-,-,6' 0.5'',6' 1.5'',7' 10'',175,6' 5'',11.25,-,3.25,32,37,7
Allan Ray,SG,2006-07,9.80%,-,-,6' 1'',6' 2.25'',8' 3.5'',204,6' 8.5'',11.01,-,3.2,28.5,35.5,9
JJ Redick,SG,2006-07,7.00%,-,-,6' 4'',6' 4.75'',8' 1.5'',190,6' 3.25'',10.94,-,3.29,27.5,33,6
Antywane Robinson,SF-PF,2006-07,6.90%,-,-,6' 6.25'',6' 7.5'',8' 9.5'',217,7' 2.5'',11.73,-,3.4,29,32.5,12
Brandon Roy,SG-SF,2006-07,7.60%,-,-,6' 5.25'',6' 6.25'',8' 5'',207,6' 8'',11.13,-,3.27,34,40.5,6
Blake Schilb,PG-SG,2006-07,11.30%,-,-,6' 5.25'',6' 6.25'',8' 6'',209,6' 8.75'',11.25,-,3.43,28.5,34.5,13
Mouhamed Sene,C,2006-07,6.60%,-,-,6' 11'',7' 0'',9' 5'',237,7' 8.5'',12.52,-,3.38,28.5,31,7
Cedric Simmons,PF-C,2006-07,5.60%,-,-,6' 8.25'',6' 9.5'',9' 0.5'',223,7' 4.25'',11.05,-,3.31,30.5,35,15
Marcus Slaughter,PF-SF,2006-07,8.50%,-,-,6' 7'',6' 8'',8' 8.5'',220,6' 11.5'',11.56,-,3.4,30,34,9
Craig Smith,PF,2006-07,12.20%,-,-,6' 5.5'',6' 6.5'',8' 7.5'',259,6' 9.5'',11.59,-,3.4,30,29.5,-
Steven Smith,SF-PF,2006-07,7.80%,-,-,6' 7.5'',6' 9.25'',8' 8'',238,7' 0.5'',12.08,-,3.4,29.5,34.5,15
Michael Southhall,C,2006-07,7.90%,-,-,6' 9.5'',6' 10.25'',8' 11.5'',241,7' 4.25'',12.29,-,3.51,31.5,37,2
